Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,766.0,18.0,40.0,1747.0,0.1,20.30800000000002,0.0,0.0,275.95704340934753,,,,,,,,,,,,,,,,,,,,,6.16809721904885,6.822503590328522,20.101458927634393,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,834.0,19.0,68.0,1815.0,0.1,43.30799999999999,0.0,0.0,282.525413274765,,,,,,,,,,,,,,,,,,,,,15.181726260827599,14.062148365824296,42.36032089573429,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,869.0,20.0,35.0,1850.0,0.1,21.605000000000015,0.0,0.0,286.308598279953,,,,,,,,,,,,,,,,,,,,,7.6754009425032255,7.447281526405529,21.37909778348157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,42.0,1.0,42.0,1892.0,0.1,28.605000000000015,0.0,0.0,375.477680683136,,,,,,,,,,,,,,,,,,,,,10.77291352563775,9.72106454717639,28.208927277551048,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,74.0,2.0,32.0,1924.0,0.1,11.907999999999992,0.0,0.0,379.0584406852722,,,,,,,,,,,,,,,,,,,,,3.100405091296447,3.882505854832111,11.832440084808045,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,121.0,3.0,47.0,1971.0,0.1,26.706000000000017,0.0,0.0,384.01467394828796,,,,,,,,,,,,,,,,,,,,,9.770947512217612,8.709889997410736,26.299337843274486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,169.0,4.0,48.0,2019.0,0.1,25.706000000000017,0.0,0.0,389.00219559669495,,,,,,,,,,,,,,,,,,,,,9.616912663844046,8.250738054976148,25.294952802788256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,196.0,5.0,27.0,2046.0,0.1,11.606999999999994,0.0,0.0,392.16851568222046,,,,,,,,,,,,,,,,,,,,,3.3062916464050174,3.986494979693841,11.540800185117115,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,254.0,6.0,58.0,2104.0,0.1,20.411000000000048,0.0,0.0,398.3210425376892,,,,,,,,,,,,,,,,,,,,,4.827125405964873,6.103349329767649,20.171349253612007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,301.0,7.0,47.0,2151.0,0.1,23.30600000000002,0.0,0.0,403.0398037433624,,,,,,,,,,,,,,,,,,,,,7.628136061379834,7.358372803503412,22.993441494662978,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,415.0,8.0,114.0,2265.0,0.1,62.90700000000003,0.0,0.0,414.14372396469116,,,,,,,,,,,,,,,,,,,,,27.411216492317656,17.084713223659108,59.90186514830729,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,499.0,9.0,84.0,2349.0,0.1,51.706999999999994,0.0,0.0,422.28083324432373,,,,,,,,,,,,,,,,,,,,,20.244608063671176,15.493332446482011,50.106616048131826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,558.0,10.0,59.0,2408.0,0.1,25.608000000000033,0.0,0.0,428.3235876560211,,,,,,,,,,,,,,,,,,,,,7.436224211905749,7.884310068270643,25.219676905631918,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,638.0,11.0,80.0,2488.0,0.1,56.40699999999999,0.0,0.0,436.43065071105957,,,,,,,,,,,,,,,,,,,,,23.12353612987973,17.319282903756374,54.66639523368176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,668.0,12.0,30.0,2518.0,0.1,14.705999999999994,0.0,0.0,440.11954736709595,,,,,,,,,,,,,,,,,,,,,4.504246782805027,5.061868264277758,14.600058112683104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,700.0,13.0,32.0,2550.0,0.1,15.605999999999995,0.0,0.0,443.59528946876526,,,,,,,,,,,,,,,,,,,,,4.884733809691592,5.247574088288271,15.480634306067701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,723.0,14.0,23.0,2573.0,0.1,9.005999999999995,0.0,0.0,446.5184714794159,,,,,,,,,,,,,,,,,,,,,2.5825402232666366,3.0871633568737615,8.964521653650515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,748.0,15.0,25.0,2598.0,0.1,10.605999999999995,0.0,0.0,449.5911536216736,,,,,,,,,,,,,,,,,,,,,3.0685974993155174,3.653366121754919,10.550375262667185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,777.0,16.0,29.0,2627.0,0.1,12.705999999999994,0.0,0.0,453.02966117858887,,,,,,,,,,,,,,,,,,,,,3.7276639083260013,4.282443857578024,12.623131386299763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,880.0,17.0,103.0,2730.0,0.1,72.606,0.0,0.0,463.1670343875885,,,,,,,,,,,,,,,,,,,,,31.99504243796098,21.105024685179583,69.44933985926873,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,952.0,18.0,72.0,2802.0,0.1,48.907,0.0,0.0,470.28798151016235,,,,,,,,,,,,,,,,,,,,,17.80146087947059,15.951826224671061,47.72068847293551,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,995.0,19.0,43.0,2845.0,0.1,18.610000000000028,0.0,0.0,474.9419414997101,,,,,,,,,,,,,,,,,,,,,5.002327322836346,6.075241007756667,18.431744983339733,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
